20250723 042800;23238.75;23240.25;23238.75;23238.75;4
20250723 042900;23239;23240.25;23239;23240.25;5
20250723 043000;23240;23241;23239.75;23241;18
20250723 043100;23241.25;23242.25;23239.25;23242.25;45
20250723 043200;23241.25;23241.5;23240.25;23240.25;23
20250723 043300;23240.25;23240.75;23240.25;23240.75;4
20250723 043400;23240.75;23242;23240;23241.25;18
20250723 043500;23241.5;23243.5;23240.75;23243.5;18
20250723 043600;23243.5;23244.5;23243.25;23243.25;26
20250723 043700;23243.25;23243.25;23239;23242.25;34
20250723 043800;23243.5;23244.5;23242;23243.5;25
20250723 043900;23242.5;23246;23242.5;23243;56
20250723 044000;23244;23245.5;23243.5;23245.5;21
20250723 044100;23246;23251.5;23245.75;23248.5;178
20250723 044200;23249.25;23251.25;23248.75;23249.25;50
20250723 044300;23250;23250.5;23248.25;23248.75;30
20250723 044400;23249.5;23250;23249;23249.25;17
20250723 044500;23249.75;23249.75;23246.25;23247.75;42
20250723 044600;23248.25;23248.25;23245;23245.5;47
20250723 044700;23245.25;23246.75;23245.25;23246.75;27
20250723 044800;23246.5;23246.5;23243.75;23244.25;39
20250723 044900;23244;23246.5;23241.5;23246.25;68
20250723 045000;23245.5;23248.25;23245.5;23248;38
20250723 045100;23248.25;23248.75;23246;23248.75;39
20250723 045200;23248.25;23248.25;23245.25;23245.75;30
20250723 045300;23245.25;23245.75;23243.75;23245;44
20250723 045400;23245;23245.5;23242.75;23245;33
20250723 045500;23244.75;23245.75;23243;23245;33
20250723 045600;23245.25;23246.75;23245.25;23245.5;18
20250723 045700;23246.25;23248.5;23246.25;23248;25
20250723 045800;23248;23250.25;23248;23250.25;43
20250723 045900;23249.75;23251;23249.75;23250.25;12
20250723 050000;23249.5;23249.75;23248.5;23248.5;15
20250723 050100;23248.5;23251.75;23248.5;23251.75;47
20250723 050200;23251.25;23251.25;23250.25;23250.75;6
20250723 050300;23250.25;23251;23248.75;23248.75;17
20250723 050400;23249.25;23249.25;23246.5;23247.25;31
20250723 050500;23247.25;23248.25;23246.75;23247.25;20
20250723 050600;23246.75;23246.75;23245;23246.5;37
20250723 050700;23246.25;23246.25;23244.75;23245.25;45
20250723 050800;23245.5;23247.5;23245.5;23247.25;14
20250723 050900;23248.5;23251;23248.25;23248.75;42
20250723 051000;23248.5;23251;23248.5;23250.75;22
20250723 051100;23250.25;23250.5;23249.75;23250;19
20250723 051200;23249.25;23249.5;23246.5;23247;34
20250723 051300;23246.25;23248;23246;23246;20
20250723 051400;23247.75;23249;23247.25;23248.25;19
20250723 051500;23249;23249.25;23248;23248.25;9
20250723 051600;23248.75;23252.5;23248.5;23252.5;48
20250723 051700;23253;23254.25;23251;23251.25;54
20250723 051800;23251.25;23253;23251.25;23252.25;22
20250723 051900;23252.5;23252.5;23248.75;23249.75;31
20250723 052000;23249.75;23251.75;23248;23249.25;60
20250723 052100;23249.5;23250.25;23247.25;23250.25;19
20250723 052200;23249.75;23250;23247.5;23250;49
20250723 052300;23249.75;23253.5;23249.75;23252.75;47
20250723 052400;23252.75;23253.25;23251.25;23252.25;22
20250723 052500;23251.75;23251.75;23249.25;23250.75;27
20250723 052600;23251.25;23251.25;23248;23248;24
20250723 052700;23248;23250.5;23248;23250;29
20250723 052800;23250.5;23251;23250;23250.75;14
20250723 052900;23251;23254;23251;23252.5;52
20250723 053000;23252.25;23254;23252.25;23254;27
20250723 053100;23254.5;23259.5;23254;23258.75;164
20250723 053200;23257.5;23259.5;23256.25;23257.75;54
20250723 053300;23257.5;23257.5;23255.75;23257;33
20250723 053400;23257.25;23257.25;23251.5;23252.25;48
20250723 053500;23252;23255.5;23252;23254;42
20250723 053600;23253.75;23255;23252;23254.75;33
20250723 053700;23254.5;23259;23254.5;23257.5;37
20250723 053800;23257.75;23258.75;23255;23255;27
20250723 053900;23254.75;23255.5;23253.5;23253.5;26
20250723 054000;23253;23253.75;23251.75;23251.75;36
20250723 054100;23252;23252.75;23248.5;23252.75;71
20250723 054200;23252.75;23252.75;23249.25;23250;23
20250723 054300;23250.25;23251.5;23250.25;23250.75;12
20250723 054400;23250.25;23251;23246;23247.75;65
20250723 054500;23246.25;23249;23245.25;23248.25;54
20250723 054600;23248;23257;23247.5;23254.25;172
20250723 054700;23254.25;23256.25;23254.25;23254.75;28
20250723 054800;23255;23255.5;23255;23255.25;4
20250723 054900;23254.25;23257.75;23254.25;23256.5;41
20250723 055000;23256.25;23256.25;23254.5;23256.25;26
20250723 055100;23256.25;23258;23253.5;23255.5;75
20250723 055200;23255.5;23256;23252.75;23253;39
20250723 055300;23252.5;23254;23251.25;23253.25;24
20250723 055400;23253;23253;23250.25;23250.75;36
20250723 055500;23249.5;23251.5;23248.75;23250.5;26
20250723 055600;23250.25;23254.25;23249.75;23252.5;45
20250723 055700;23252.5;23253;23250.5;23252;53
20250723 055800;23252;23252.25;23248.75;23249.5;36
20250723 055900;23249;23253;23249;23252.25;39
20250723 060000;23252.25;23253.5;23250.5;23250.5;53
20250723 060100;23251;23252;23249.5;23250.75;58
20250723 060200;23251.5;23252.5;23246.5;23247.25;145
20250723 060300;23247;23249.75;23247;23249.5;69
20250723 060400;23249.75;23251.5;23247.75;23248.75;55
20250723 060500;23248.5;23250;23246.75;23247.75;35
20250723 060600;23248.75;23250;23247.75;23248.5;24
20250723 060700;23249.25;23251;23248.5;23250.25;19
20250723 060800;23249.75;23250;23249.5;23250;4
20250723 060900;23249.75;23250.75;23249;23249.25;20
20250723 061000;23249.5;23251;23248;23248.75;34
20250723 061100;23249.5;23250.25;23248.5;23249;22
20250723 061200;23249.25;23249.5;23247.25;23249.5;25
20250723 061300;23250.25;23251.75;23247.75;23248.5;62
20250723 061400;23248.5;23250;23246.5;23249;48
20250723 061500;23248.75;23248.75;23247.25;23247.5;30
20250723 061600;23247.75;23248.75;23246;23247.25;45
20250723 061700;23247;23250;23246;23247.25;63
20250723 061800;23247.25;23248;23247;23247.25;22
20250723 061900;23247.75;23249;23246.25;23246.25;30
20250723 062000;23247.5;23248.5;23247;23248;14
20250723 062100;23247.5;23249.5;23243.5;23247.25;133
20250723 062200;23246.5;23248.25;23245.25;23245.25;59
20250723 062300;23245.25;23245.5;23243;23244.5;53
20250723 062400;23244.25;23247;23243.5;23244.75;61
20250723 062500;23244.75;23246;23244.25;23246;20
